User data and parameters: User data: WebGestalt_Liver_HFVvsNV.txt, Organism: mmusculus, Id Type: gene_symbol, Ref Set: entrezgene, Significance Level: .01, Statistics Test: Hypergeometric, MTC: BH, Minimum: 5

The results for the enriched KEGG pathways are listed in this table. For each pathway, the first row lists its KEGG pathway
name, and corresponding KEGG ID. The second row lists
number of reference genes in the category (C), number of genes in the gene set and also in the category (O), expected number in the
category (E), Ratio of enrichment (R), p value from hypergeometric test (rawP), and p value adjusted by the multiple test adjustment (adjP).
Finally, genes in the pathway are listed. For each gene, the table lists the user uploaded ID and value (optional), Entrez ID,
Ensembl Gene Stable ID, Gene symbol, and description.


KEGG pathway	Metabolic pathways	01100
C=1184;O=99;E=16.19;R=6.12;rawP=3.08e-47;adjP=2.37e-45
Acat2	NA	Acat2	acetyl-Coenzyme A acetyltransferase 2	110460	ENSMUSG00000023832

Ido2	NA	Ido2	indoleamine 2,3-dioxygenase 2	209176	ENSMUSG00000031549

Ndufa8	NA	Ndufa8	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 8	68375	ENSMUSG00000026895

Pck1	NA	Pck1	phosphoenolpyruvate carboxykinase 1, cytosolic	18534	ENSMUSG00000027513

Ndufs8	NA	Ndufs8	NADH dehydrogenase (ubiquinone) Fe-S protein 8	225887	ENSMUSG00000059734

Cyp3a25	NA	Cyp3a25	cytochrome P450, family 3, subfamily a, polypeptide 25	56388	ENSMUSG00000029630

Ndufb7	NA	Ndufb7	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 7	66916	ENSMUSG00000033938

Pgp	NA	Pgp	phosphoglycolate phosphatase	67078	ENSMUSG00000043445

Dtymk	NA	Dtymk	deoxythymidylate kinase	21915	ENSMUSG00000026281

Pmvk	NA	Pmvk	phosphomevalonate kinase	68603	ENSMUSG00000027952

Extl1	NA	Extl1	exostoses (multiple)-like 1	56219	ENSMUSG00000028838

Ndst1	NA	Ndst1	N-deacetylase/N-sulfotransferase (heparan glucosaminyl) 1	15531	ENSMUSG00000054008

Mvd	NA	Mvd	mevalonate (diphospho) decarboxylase	192156	ENSMUSG00000006517

Hmgcs1	NA	Hmgcs1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	208715	ENSMUSG00000093930

Dct	NA	Dct	dopachrome tautomerase	13190	ENSMUSG00000022129

Tm7sf2	NA	Tm7sf2	transmembrane 7 superfamily member 2	73166	ENSMUSG00000024799

Ndufb9	NA	Ndufb9	NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 9	66218	ENSMUSG00000022354

Hsd11b1	NA	Hsd11b1	hydroxysteroid 11-beta dehydrogenase 1	15483	ENSMUSG00000016194

Plce1	NA	Plce1	phospholipase C, epsilon 1	74055	ENSMUSG00000024998

Dpm3	NA	Dpm3	dolichyl-phosphate mannosyltransferase polypeptide 3	68563	ENSMUSG00000042737

Scp2	NA	Scp2	sterol carrier protein 2, liver	20280	ENSMUSG00000028603

Ugt2b38	NA	Ugt2b38	UDP glucuronosyltransferase 2 family, polypeptide B38	100559	ENSMUSG00000061906

Qdpr	NA	Qdpr	quinoid dihydropteridine reductase	110391	ENSMUSG00000015806

Tat	NA	Tat	tyrosine aminotransferase	234724	ENSMUSG00000001670

Cox8a	NA	Cox8a	cytochrome c oxidase, subunit VIIIa	12868	ENSMUSG00000035885

Tymp	NA	Tymp	thymidine phosphorylase	72962	ENSMUSG00000022615

Ugt1a1	NA	Ugt1a1	UDP glucuronosyltransferase 1 family, polypeptide A1	394436	ENSMUSG00000089960

Taldo1	NA	Taldo1	transaldolase 1	21351	ENSMUSG00000025503

Sardh	NA	Sardh	sarcosine dehydrogenase	192166	ENSMUSG00000009614

Atp6v0b	NA	Atp6v0b	ATPase, H+ transporting, lysosomal V0 subunit B	114143	ENSMUSG00000033379

Cda	NA	Cda	cytidine deaminase	72269	ENSMUSG00000028755

Cyp2r1	NA	Cyp2r1	cytochrome P450, family 2, subfamily r, polypeptide 1	244209	ENSMUSG00000030670

Cox6a1	NA	Cox6a1	cytochrome c oxidase, subunit VI a, polypeptide 1	12861	ENSMUSG00000041697

Ugt1a7c	NA	Ugt1a7c	UDP glucuronosyltransferase 1 family, polypeptide A7C	394432	ENSMUSG00000090124

Pdhb	NA	Pdhb	pyruvate dehydrogenase (lipoamide) beta	68263	ENSMUSG00000021748

Uqcrh	NA	Uqcrh	ubiquinol-cytochrome c reductase hinge protein	66576	ENSMUSG00000063882

Uqcr11	NA	Uqcr11	ubiquinol-cytochrome c reductase, complex III subunit XI	66594	ENSMUSG00000020163

Aldh1a7	NA	Aldh1a7	aldehyde dehydrogenase family 1, subfamily A7	26358	ENSMUSG00000024747

Me1	NA	Me1	malic enzyme 1, NADP(+)-dependent, cytosolic	17436	ENSMUSG00000032418

Hyal1	NA	Hyal1	hyaluronoglucosaminidase 1	15586	ENSMUSG00000010051

Galnt4	NA	Galnt4	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 4	14426	ENSMUSG00000090035

Atp5g1	NA	Atp5g1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit c1 (subunit 9)	11951	ENSMUSG00000006057

Aprt	NA	Aprt	adenine phosphoribosyl transferase	11821	ENSMUSG00000006589

Cox7b	NA	Cox7b	cytochrome c oxidase subunit VIIb	66142	ENSMUSG00000031231

Phospho2	NA	Phospho2	phosphatase, orphan 2	73373	ENSMUSG00000027088

Atp5f1	NA	Atp5f1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit B1	11950	ENSMUSG00000000563

Hibadh	NA	Hibadh	3-hydroxyisobutyrate dehydrogenase	58875	ENSMUSG00000029776

Nme1	NA	Nme1	NME/NM23 nucleoside diphosphate kinase 1	18102	ENSMUSG00000037601

Pts	NA	Pts	6-pyruvoyl-tetrahydropterin synthase	19286	ENSMUSG00000032067

Atp6v0d1	NA	Atp6v0d1	ATPase, H+ transporting, lysosomal V0 subunit D1	11972	ENSMUSG00000013160

Cox4i1	NA	Cox4i1	cytochrome c oxidase subunit IV isoform 1	12857	ENSMUSG00000031818

Acadvl	NA	Acadvl	acyl-Coenzyme A dehydrogenase, very long chain	11370	ENSMUSG00000018574

Ugt1a9	NA	Ugt1a9	UDP glucuronosyltransferase 1 family, polypeptide A9	394434	ENSMUSG00000090175

Nsdhl	NA	Nsdhl	NAD(P) dependent steroid dehydrogenase-like	18194	ENSMUSG00000031349

Gpam	NA	Gpam	glycerol-3-phosphate acyltransferase, mitochondrial	14732	ENSMUSG00000024978

Adi1	NA	Adi1	acireductone dioxygenase 1	104923	ENSMUSG00000020629

Cyp2c68	NA	Cyp2c68	cytochrome P450, family 2, subfamily c, polypeptide 68	433247	ENSMUSG00000074882

Cyp3a11	NA	Cyp3a11	cytochrome P450, family 3, subfamily a, polypeptide 11	13112	ENSMUSG00000056035

Cyp4a10	NA	Cyp4a10	cytochrome P450, family 4, subfamily a, polypeptide 10	13117	ENSMUSG00000066072

Sc5d	NA	Sc5d	sterol-C5-desaturase (fungal ERG3, delta-5-desaturase) homolog (S. cerevisae)	235293	ENSMUSG00000032018

Mcee	NA	Mcee	methylmalonyl CoA epimerase	73724	ENSMUSG00000033429

Hsd17b2	NA	Hsd17b2	hydroxysteroid (17-beta) dehydrogenase 2	15486	ENSMUSG00000031844

Ugt1a6b	NA	Ugt1a6b	UDP glucuronosyltransferase 1 family, polypeptide A6B	394435	ENSMUSG00000090145

Itpa	NA	Itpa	inosine triphosphatase (nucleoside triphosphate pyrophosphatase)	16434	ENSMUSG00000074797

Lipg	NA	Lipg	lipase, endothelial	16891	ENSMUSG00000053846

Pigyl	NA	Pigyl	phosphatidylinositol glycan anchor biosynthesis, class Y-like	66268	ENSMUSG00000010607

Cpox	NA	Cpox	coproporphyrinogen oxidase	12892	ENSMUSG00000022742

Csad	NA	Csad	cysteine sulfinic acid decarboxylase	246277	ENSMUSG00000023044

Ppap2b	NA	Ppap2b	phosphatidic acid phosphatase type 2B	67916	ENSMUSG00000028517

Lta4h	NA	Lta4h	leukotriene A4 hydrolase	16993	ENSMUSG00000015889

Acmsd	NA	Acmsd	amino carboxymuconate semialdehyde decarboxylase	266645	ENSMUSG00000026348

Acsm3	NA	Acsm3	acyl-CoA synthetase medium-chain family member 3	20216	ENSMUSG00000030935

