"Query","Entrez","Symbol","Name","Comment"
"Akp3","11648","Akp3","alkaline phosphatase 3, intestine, not Mn requiring","1"
"Alpi","76768","Alpi","alkaline phosphatase, intestinal","1"
"Trex2","24102","Trex2","three prime repair exonuclease 2","1"
"Lypd8","NA","NA","NA","0"
"Zg16","69036","Zg16","zymogen granule protein 16","1"
"Cyp2c40","13099","Cyp2c40","cytochrome P450, family 2, subfamily c, polypeptide 40","1"
"Klk1b24","16617","Klk1b24","kallikrein 1-related peptidase b24","1"
"Wfdc12","192200","Wfdc12","WAP four-disulfide core domain 12","1"
"Rbp2","19660","Rbp2","retinol binding protein 2, cellular","1"
"Bnc2","242509","Bnc2","basonuclin 2","1"
"Mxd3","17121","Mxd3","Max dimerization protein 3","1"
"Cenpe","229841","Cenpe","centromere protein E","1"
"Guca2b","14916","Guca2b","guanylate cyclase activator 2b (retina)","1"
"Muc3","666339","Muc3","mucin 3, intestinal","1"
"Gp1bb","14724","Gp1bb","glycoprotein Ib, beta polypeptide","1"
"Avpr2","12000","Avpr2","arginine vasopressin receptor 2","1"
"Kif23","71819","Kif23","kinesin family member 23","1"
"Tubb3","22152","Tubb3","tubulin, beta 3 class III","1"
"1700011L22Rik","67687","1700011L22Rik","RIKEN cDNA 1700011L22 gene","1"
"Lrrc4","192198","Lrrc4","leucine rich repeat containing 4","1"
"Sit1","54390","Sit1","suppression inducing transmembrane adaptor 1","1"
"Epb4.2","13828","Epb4.2","erythrocyte protein band 4.2","1"
"Chrna7","11441","Chrna7","cholinergic receptor, nicotinic, alpha polypeptide 7","1"
"Prtg","235472","Prtg","protogenin homolog (Gallus gallus)","1"
"Smc1b","140557","Smc1b","structural maintenance of chromosomes 1B","1"
"Klk1","16612","Klk1","kallikrein 1","1"
"Bdkrb2","12062","Bdkrb2","bradykinin receptor, beta 2","1"
"Rnf180","71816","Rnf180","ring finger protein 180","1"
"Myo15","17910","Myo15","myosin XV","1"
"Sema4f","20355","Sema4f","sema domain, immunoglobulin domain (Ig), TM domain, and short cytoplasmic domain","1"
"Armcx6","278097","Armcx6","armadillo repeat containing, X-linked 6","1"
"Dfnb59","381375","Dfnb59","deafness, autosomal recessive 59 (human)","1"
"Rnf222","320040","Rnf222","ring finger protein 222","1"
"Il2","16183","Il2","interleukin 2","1"
"Kif19a","286942","Kif19a","kinesin family member 19A","1"
"Nos1","18125","Nos1","nitric oxide synthase 1, neuronal","1"
"Gm766","330440","Gm766","predicted gene 766","1"
"Reg1","19692","Reg1","regenerating islet-derived 1","1"
"Cst7","13011","Cst7","cystatin F (leukocystatin)","1"
"Spert","67926","Spert","spermatid associated","1"
"Mettl21b","NA","NA","NA","0"
"Col6a4","68553","Col6a4","collagen, type VI, alpha 4","1"
"Clec10a","17312","Clec10a","C-type lectin domain family 10, member A","1"
"4930597O21Rik","75373","4930597O21Rik","RIKEN cDNA 4930597O21 gene","1"
"Sprr1a","20753","Sprr1a","small proline-rich protein 1A","1"
"Prss41","71003","Prss41","protease, serine, 41","1"
"Cryba4","12959","Cryba4","crystallin, beta A4","1"
"Reg3g","19695","Reg3g","regenerating islet-derived 3 gamma","1"
"Vwa5b2","328643","Vwa5b2","von Willebrand factor A domain containing 5B2","1"
"Slc5a11","233836","Slc5a11","solute carrier family 5 (sodium/glucose cotransporter), member 11","1"
"Gypa","14934","Gypa","glycophorin A","1"
"Krt4","16682","Krt4","keratin 4","1"
"Reg4","67709","Reg4","regenerating islet-derived family, member 4","1"
"B3gnt7","227327","B3gnt7","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7","1"
"Slc1a3","20512","Slc1a3","solute carrier family 1 (glial high affinity glutamate transporter), member 3","1"
"Crb2","241324","Crb2","crumbs homolog 2 (Drosophila)","1"
"Ccdc69","52570","Ccdc69","coiled-coil domain containing 69","1"
"Zpbp","53604","Zpbp","zona pellucida binding protein","1"
"Ticrr","NA","NA","NA","0"
"Pglyrp1","21946","Pglyrp1","peptidoglycan recognition protein 1","1"
"Asic2","NA","NA","NA","0"
"Lpcat2b","70902","Lpcat2b","lysophosphatidylcholine acyltransferase 2B","1"
"Scn5a","20271","Scn5a","sodium channel, voltage-gated, type V, alpha","1"
